state,$,(,),*,+,id,E,F,S,S',T
0,,s5,,,,s6,1,3,2,,4
1,r[S->E],,,,s7,,,,,,
2,acc,,,,,,,,,,
3,r[T->F],,,r[T->F],r[T->F],,,,,,
4,r[E->T],,,s8,r[E->T],,,,,,
5,,s12,,,,s13,9,10,,,11
6,r[F->id],,,r[F->id],r[F->id],,,,,,
7,,s5,,,,s6,,3,,,14
8,,s5,,,,s6,,15,,,
9,,,s16,,s17,,,,,,
10,,,r[T->F],r[T->F],r[T->F],,,,,,
11,,,r[E->T],s18,r[E->T],,,,,,
12,,s12,,,,s13,19,10,,,11
13,,,r[F->id],r[F->id],r[F->id],,,,,,
14,r[E->E + T],,,s8,r[E->E + T],,,,,,
15,r[T->T * F],,,r[T->T * F],r[T->T * F],,,,,,
16,r[F->( E )],,,r[F->( E )],r[F->( E )],,,,,,
17,,s12,,,,s13,,10,,,20
18,,s12,,,,s13,,21,,,
19,,,s22,,s17,,,,,,
20,,,r[E->E + T],s18,r[E->E + T],,,,,,
21,,,r[T->T * F],r[T->T * F],r[T->T * F],,,,,,
22,,,r[F->( E )],r[F->( E )],r[F->( E )],,,,,,
